#format table ## [Custom WaveView] saved 17:22:00 Thu Dec  5 2024
TIME ,v(bit0) ,v(bit1) ,v(bit2) ,v(bit3) ,v(bit4) ,v(bit5) ,v(bit6) ,v(bit7) 
 2.250E-09 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.801E+00 
 2.500E-09 , 1.709E+00 , 1.008E-02 , 4.594E-03 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.709E+00 , 2.913E-02 
 2.750E-09 ,-9.215E-05 , 1.800E+00 , 7.261E-05 , 4.577E-03 , 1.800E+00 , 1.800E+00 , 1.748E+00 , 1.796E+00 
 3.000E-09 , 1.694E+00 , 1.699E+00 , 3.731E-05 , 7.263E-05 , 4.577E-03 , 1.800E+00 , 1.700E+00 , 4.358E-02 
 3.250E-09 ,-5.469E-05 , 1.746E+00 , 1.799E+00 , 3.127E-05 , 7.258E-05 , 4.577E-03 , 1.745E+00 , 1.796E+00 
 3.500E-09 , 1.688E+00 , 1.696E+00 , 5.360E-03 , 1.799E+00 , 3.134E-05 , 7.351E-05 , 8.864E-03 , 3.967E-02 
 3.750E-09 , 2.612E-02 , 1.797E+00 , 1.799E+00 , 3.766E-03 , 1.799E+00 , 3.132E-05 , 3.230E-04 ,-1.065E-03 
 4.000E-09 , 3.343E-04 , 3.318E-02 , 1.800E+00 , 1.799E+00 , 3.774E-03 , 1.799E+00 , 1.878E-04 ,-1.712E-03 
 4.250E-09 , 6.461E-04 , 7.899E-04 , 4.083E-03 , 1.800E+00 , 1.799E+00 , 3.775E-03 , 1.765E+00 , 2.805E-03 
 4.500E-09 ,-2.341E-03 ,-2.422E-03 , 5.360E-05 , 4.017E-03 , 1.800E+00 , 1.799E+00 ,-5.605E-05 , 1.794E+00 
 4.750E-09 , 1.801E+00 , 1.801E+00 , 1.799E+00 , 4.752E-05 , 4.018E-03 , 1.800E+00 , 1.792E+00 , 1.801E+00 
 5.000E-09 , 1.708E+00 , 9.307E-03 , 3.837E-03 , 1.799E+00 , 4.755E-05 , 4.016E-03 , 1.708E+00 , 2.834E-02 
 5.250E-09 ,-1.158E-04 , 1.800E+00 , 7.019E-05 , 3.821E-03 , 1.799E+00 , 4.585E-05 ,-1.289E-04 , 1.796E+00 
 5.500E-09 , 1.793E+00 , 1.800E+00 , 5.458E-05 , 7.014E-05 , 3.821E-03 , 1.799E+00 ,-1.010E-04 , 1.800E+00 
 5.750E-09 , 1.800E+00 , 5.901E-04 , 5.122E-05 , 5.473E-05 , 7.030E-05 , 3.826E-03 , 1.787E+00 , 1.800E+00 
 6.000E-09 , 1.707E+00 , 6.115E-03 , 1.799E+00 , 3.091E-05 , 5.464E-05 , 7.273E-05 , 7.932E-03 , 2.206E-02 
 6.250E-09 , 2.695E-02 , 1.766E+00 , 3.819E-03 , 1.799E+00 , 3.085E-05 , 5.463E-05 , 4.254E-04 , 1.486E-03 
 6.500E-09 , 3.437E-04 , 3.154E-02 , 1.799E+00 , 3.775E-03 , 1.799E+00 , 3.063E-05 , 2.429E-04 ,-1.638E-03 
 6.750E-09 , 5.160E-04 , 6.469E-04 , 3.875E-03 , 1.799E+00 , 3.774E-03 , 1.799E+00 , 4.681E-04 ,-2.492E-05 
 7.000E-09 , 6.419E-04 , 6.428E-04 , 7.029E-05 , 3.830E-03 , 1.799E+00 , 3.775E-03 , 1.766E+00 , 2.794E-03 
 7.250E-09 ,-2.341E-03 ,-2.422E-03 , 3.701E-05 , 7.020E-05 , 3.830E-03 , 1.799E+00 ,-5.481E-05 , 1.794E+00 
 7.500E-09 , 1.801E+00 , 1.801E+00 , 1.799E+00 , 3.123E-05 , 7.021E-05 , 3.835E-03 , 1.792E+00 , 1.801E+00 
 7.750E-09 , 1.706E+00 , 9.310E-03 , 3.837E-03 , 1.799E+00 , 3.126E-05 , 7.293E-05 , 8.093E-03 , 2.171E-02 
 8.000E-09 , 2.683E-02 , 1.768E+00 , 5.985E-05 , 3.821E-03 , 1.799E+00 , 3.133E-05 , 4.232E-04 , 1.407E-03 
 8.250E-09 , 3.421E-04 , 3.166E-02 , 1.799E+00 , 4.675E-05 , 3.821E-03 , 1.799E+00 , 1.966E-04 ,-1.646E-03 
 8.500E-09 , 6.461E-04 , 7.776E-04 , 3.868E-03 , 1.799E+00 , 4.677E-05 , 3.822E-03 , 1.765E+00 , 2.805E-03 
 8.750E-09 ,-2.342E-03 ,-2.423E-03 , 5.276E-05 , 3.821E-03 , 1.799E+00 , 4.603E-05 ,-9.162E-05 , 1.795E+00 
 9.000E-09 , 1.801E+00 , 1.801E+00 , 1.799E+00 , 4.674E-05 , 3.821E-03 , 1.799E+00 ,-9.526E-05 , 1.800E+00 
 9.250E-09 , 1.800E+00 ,-6.190E-04 , 3.825E-03 , 1.799E+00 , 4.679E-05 , 3.826E-03 , 1.787E+00 , 1.800E+00 
 9.500E-09 , 1.706E+00 , 6.436E-03 , 1.799E+00 , 3.775E-03 , 1.799E+00 , 4.935E-05 , 7.933E-03 , 2.213E-02 
